,Unnamed: 0,Artist,url_songs,Num songs
130,130,Polo G,https://kworb.net/spotify/artist/6AgTAQt8XS6jRWi4sX7w49_songs.html,138.0
131,131,DJ Snake,https://kworb.net/spotify/artist/540vIaP2JwjQb9dm3aArA4_songs.html,193.0
132,132,Sean Paul,https://kworb.net/spotify/artist/3Isy6kedDrgPYoTS1dazA9_songs.html,401.0
133,133,Gucci Mane,https://kworb.net/spotify/artist/13y7CgLHjMVRMDqxdx0Xdo_songs.html,495.0
134,134,Luke Combs,https://kworb.net/spotify/artist/718COspgdWOnwOFpJHRZHS_songs.html,112.0
135,135,James Arthur,https://kworb.net/spotify/artist/4IWBUUAFIplrNtaOHcJPRM_songs.html,191.0
136,136,AC/DC,https://kworb.net/spotify/artist/711MCceyCBcFnzjGY4Q7Un_songs.html,302.0
137,137,Marília Mendonça,https://kworb.net/spotify/artist/1yR65psqiazQpeM79CcGh8_songs.html,183.0
138,138,Bizarrap,https://kworb.net/spotify/artist/716NhGYqD1jl2wI1Qkgq36_songs.html,117.0
139,139,Tory Lanez,https://kworb.net/spotify/artist/2jku7tDXc6XoB6MO2hFuqg_songs.html,388.0
140,140,Luis Miguel,https://kworb.net/spotify/artist/2nszmSgqreHSdJA3zWPyrW_songs.html,310.0
141,141,Justin Quiles,https://kworb.net/spotify/artist/14zUHaJZo1mnYtn6IBRaRP_songs.html,250.0
142,142,2 Chainz,https://kworb.net/spotify/artist/17lzZA2AlOHwCwFALHttmp_songs.html,488.0
143,143,Disney,https://kworb.net/spotify/artist/3xvaSlT4xsyk6lY1ESOspO_songs.html,408.0
144,144,USHER,https://kworb.net/spotify/artist/23zg3TcAtWQy7J6upgbUnj_songs.html,306.0
145,145,Offset,https://kworb.net/spotify/artist/4DdkRBBYG6Yk9Ka8tdJ9BW_songs.html,194.0
146,146,Panic! At The Disco,https://kworb.net/spotify/artist/20JZFwl6HVl6yg8a4H3ZqK_songs.html,152.0
147,147,Natanael Cano,https://kworb.net/spotify/artist/0elWFr7TW8piilVRYJUe4P_songs.html,192.0
148,148,Lil Durk,https://kworb.net/spotify/artist/3hcs9uc56yIGFCSy9leWe7_songs.html,494.0
149,149,Logic,https://kworb.net/spotify/artist/4xRYI6VqpkE3UwrDrAZL8L_songs.html,272.0
150,150,Don Omar,https://kworb.net/spotify/artist/33ScadVnbm2X8kkUqOkC6Z_songs.html,301.0
151,151,Roddy Ricch,https://kworb.net/spotify/artist/757aE44tKEUQEqRuT6GnEB_songs.html,117.0
152,152,Lil Nas X,https://kworb.net/spotify/artist/7jVv8c5Fj3E9VhNjxT4snq_songs.html,39.0
153,153,Duki,https://kworb.net/spotify/artist/1bAftSH8umNcGZ0uyV7LMg_songs.html,238.0
154,154,Fall Out Boy,https://kworb.net/spotify/artist/4UXqAaa6dQYAk18Lv7PEgX_songs.html,212.0
155,155,Pharrell Williams,https://kworb.net/spotify/artist/2RdwBSPQiwcmiDo9kixcl8_songs.html,266.0
156,156,Kid Cudi,https://kworb.net/spotify/artist/0fA0VVWsXO9YnASrzqfmYu_songs.html,263.0
157,157,Nirvana,https://kworb.net/spotify/artist/6olE6TJLqED3rqDCT0FyPh_songs.html,375.0
158,158,Martin Garrix,https://kworb.net/spotify/artist/60d24wfXkVzDSfLS6hyCjZ_songs.html,230.0
159,159,Akon,https://kworb.net/spotify/artist/0z4gvV4rjIZ9wHck67ucSV_songs.html,379.0
160,160,Henrique & Juliano,https://kworb.net/spotify/artist/3p7PcrEHaaKLJnPUGOtRlT_songs.html,245.0
161,161,Britney Spears,https://kworb.net/spotify/artist/26dSoYclwsYLMAKD3tpOr4_songs.html,292.0
162,162,Hozier,https://kworb.net/spotify/artist/2FXC3k01G6Gw61bmprjgqS_songs.html,98.0
163,163,NF,https://kworb.net/spotify/artist/6fOMl44jA4Sp5b9PpYCkzz_songs.html,97.0
164,164,The Kid LAROI,https://kworb.net/spotify/artist/2tIP7SsRs7vjIcLrU85W8J_songs.html,89.0
165,165,Major Lazer,https://kworb.net/spotify/artist/738wLrAtLtCtFOLvQBXOXp_songs.html,292.0
166,166,Kali Uchis,https://kworb.net/spotify/artist/1U1el3k54VvEUzo3ybLPlM_songs.html,117.0
167,167,Anitta,https://kworb.net/spotify/artist/7FNnA9vBm6EKceENgCGRMb_songs.html,287.0
168,168,Lewis Capaldi,https://kworb.net/spotify/artist/4GNC7GD6oZMSxPGyXy4MNB_songs.html,70.0
169,169,Lenny Tavárez,https://kworb.net/spotify/artist/1pQWsZQehhS4wavwh7Fnxd_songs.html,168.0
170,170,John Mayer,https://kworb.net/spotify/artist/0hEurMDQu99nJRq8pTxO14_songs.html,225.0
171,171,Joji,https://kworb.net/spotify/artist/3MZsBdqDrRTJihTHQrO6Dq_songs.html,78.0
172,172,Green Day,https://kworb.net/spotify/artist/7oPftvlwr6VrsViSDV7fJY_songs.html,439.0
173,173,Flo Rida,https://kworb.net/spotify/artist/0jnsk9HBra6NMjO2oANoPY_songs.html,251.0
174,174,Black Eyed Peas,https://kworb.net/spotify/artist/1yxSLGMDHlW21z4YXirZDS_songs.html,238.0
175,175,mgk,https://kworb.net/spotify/artist/6TIYQ3jFPwQSRmorSezPxX_songs.html,207.0
176,176,Wisin,https://kworb.net/spotify/artist/3E6xrwgnVfYCrCs0ePERDz_songs.html,257.0
177,177,Fleetwood Mac,https://kworb.net/spotify/artist/08GQAI4eElDnROBrJRGE0X_songs.html,491.0
178,178,Bob Marley & The Wailers,https://kworb.net/spotify/artist/2QsynagSdAqZj3U9HgDzjD_songs.html,458.0
179,179,Becky G,https://kworb.net/spotify/artist/4obzFoKoKRHIphyHzJ35G3_songs.html,186.0
180,180,ROSALÍA,https://kworb.net/spotify/artist/7ltDVBr6mKbRvohxheJ9h1_songs.html,82.0
181,181,blackbear,https://kworb.net/spotify/artist/2cFrymmkijnjDg9SS92EPM_songs.html,209.0
182,182,Anne-Marie,https://kworb.net/spotify/artist/1zNqDE7qDGCsyzJwohVaoX_songs.html,218.0
183,183,5 Seconds of Summer,https://kworb.net/spotify/artist/5Rl15oVamLq7FbSb0NNBNy_songs.html,197.0
184,184,Zach Bryan,https://kworb.net/spotify/artist/40ZNYROS4zLfyyBSs2PGe2_songs.html,153.0
185,185,Camilo,https://kworb.net/spotify/artist/28gNT5KBp7IjEOQoevXf9N_songs.html,83.0
186,186,Lil Yachty,https://kworb.net/spotify/artist/6icQOAFXDZKsumw3YXyusw_songs.html,366.0
187,187,Macklemore,https://kworb.net/spotify/artist/3JhNCzhSMTxs9WLGJJxWOY_songs.html,121.0
188,188,Fuerza Regida,https://kworb.net/spotify/artist/0ys2OFYzWYB5hRDLCsBqxt_songs.html,256.0
189,189,Robin Schulz,https://kworb.net/spotify/artist/3t5xRXzsuZmMDkQzgOX35S_songs.html,301.0
190,190,Morat,https://kworb.net/spotify/artist/5C4PDR4LnhZTbVnKWXuDKD_songs.html,106.0
191,191,Jack Harlow,https://kworb.net/spotify/artist/2LIk90788K0zvyj2JJVwkJ_songs.html,131.0
192,192,Jorge & Mateus,https://kworb.net/spotify/artist/1elUiq4X7pxej6FRlrEzjM_songs.html,331.0
193,193,Lil Tjay,https://kworb.net/spotify/artist/6jGMq4yGs7aQzuGsMgVgZR_songs.html,131.0
194,194,ZAYN,https://kworb.net/spotify/artist/5ZsFI1h6hIdQRw2ti0hz81_songs.html,120.0
195,195,Zedd,https://kworb.net/spotify/artist/2qxJFvFYMEDqd7ui6kSAcq_songs.html,167.0
196,196,Ne-Yo,https://kworb.net/spotify/artist/21E3waRsmPlU7jZsS13rcj_songs.html,306.0
197,197,Christian Nodal,https://kworb.net/spotify/artist/0XwVARXT135rw8lyw1EeWP_songs.html,93.0
198,198,Zara Larsson,https://kworb.net/spotify/artist/1Xylc3o4UrD53lo9CvFvVg_songs.html,170.0
199,199,Childish Gambino,https://kworb.net/spotify/artist/73sIBHcqh3Z3NyqHKZ7FOL_songs.html,133.0
200,200,Bryson Tiller,https://kworb.net/spotify/artist/2EMAnMvWE2eb56ToJVfCWs_songs.html,133.0
201,201,Don Toliver,https://kworb.net/spotify/artist/4Gso3d4CscCijv0lmajZWs_songs.html,164.0
202,202,Lauv,https://kworb.net/spotify/artist/5JZ7CnR6gTvEMKX4g70Amv_songs.html,128.0
203,203,Chance the Rapper,https://kworb.net/spotify/artist/1anyVhU62p31KFi8MEzkbf_songs.html,150.0
204,204,Zion & Lennox,https://kworb.net/spotify/artist/21451j1KhjAiaYKflxBjr1_songs.html,243.0
205,205,French Montana,https://kworb.net/spotify/artist/6vXTefBL93Dj5IqAWq6OTv_songs.html,493.0
