,Artist,url_songs
101,Playboi Carti,https://kworb.net/spotify/artist/699OTQXzgjhIYAHMy9RyPD_songs.html
102,Elton John,https://kworb.net/spotify/artist/3PhoLpVuITZKcymswpck5b_songs.html
103,Charlie Puth,https://kworb.net/spotify/artist/6VuMaDnrHyPL1p4EHjYLi7_songs.html
104,A Boogie Wit da Hoodie,https://kworb.net/spotify/artist/31W5EY0aAly4Qieq6OFu6I_songs.html
105,Swae Lee,https://kworb.net/spotify/artist/1zNqQNIdeOUZHb8zbZRFMX_songs.html
106,Demi Lovato,https://kworb.net/spotify/artist/6S2OmqARrzebs0tKUEyXyp_songs.html
107,50 Cent,https://kworb.net/spotify/artist/3q7HBObVc0L8jNeTe5Gofh_songs.html
108,Pop Smoke,https://kworb.net/spotify/artist/0eDvMgVFoNV3TpwtrVCoTj_songs.html
109,YoungBoy Never Broke Again,https://kworb.net/spotify/artist/7wlFDEWiM5OoIAt8RSli8b_songs.html
110,Kodak Black,https://kworb.net/spotify/artist/46SHBwWsqBkxI7EeeBEQG7_songs.html
111,Big Sean,https://kworb.net/spotify/artist/0c173mlxpT3dSFRgMO8XPh_songs.html
112,Junior H,https://kworb.net/spotify/artist/7Gi6gjaWy3DxyilpF1a8Is_songs.html
113,Sebastian Yatra,https://kworb.net/spotify/artist/07YUOmWljBTXwIseAUd9TW_songs.html
114,Manuel Turizo,https://kworb.net/spotify/artist/0tmwSHipWxN12fsoLcFU3B_songs.html
115,Migos,https://kworb.net/spotify/artist/6oMuImdp5ZcFhWP0ESe6mG_songs.html
116,BLACKPINK,https://kworb.net/spotify/artist/41MozSoPIsD1dJM0CLPjZF_songs.html
117,Metallica,https://kworb.net/spotify/artist/2ye2Wgw4gimLv2eAKyk1NB_songs.html
118,Romeo Santos,https://kworb.net/spotify/artist/5lwmRuXgjX8xIwlnauTZIP_songs.html
119,Die drei ???,https://kworb.net/spotify/artist/3meJIgRw7YleJrmbpbJK6S_songs.html
120,Alan Walker,https://kworb.net/spotify/artist/7vk5e3vY1uw9plTHJAMwjN_songs.html
121,Daft Punk,https://kworb.net/spotify/artist/4tZwfgrHOc3mvqYlEYSvVi_songs.html
122,Lil Peep,https://kworb.net/spotify/artist/2kCcBybjl3SAtIcwdWpUe3_songs.html
123,JHAYCO,https://kworb.net/spotify/artist/6nVcHLIgY5pE2YCl8ubca1_songs.html
